volatile acidity,free sulfur dioxide,chlorides,density,pH,quality white
0.23 g(acetic acid)/dm^3,41.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,0.99 g/cm^3,3.19 ,True
0.26 g(acetic acid)/dm^3,23.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.9944 g/cm^3,3.29 ,False
0.3 g(acetic acid)/dm^3,24.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.99362 g/cm^3,3.29 ,False
0.4 g(acetic acid)/dm^3,70.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,0.9976 g/cm^3,3.08 ,False
0.2 g(acetic acid)/dm^3,24.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,0.9948 g/cm^3,3.48 ,True
0.68 g(acetic acid)/dm^3,9.0 mg/dm^3,0.072 g(sodium chloride)/dm^3,0.9965 g/cm^3,3.17 ,False
0.23 g(acetic acid)/dm^3,60.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,0.99488 g/cm^3,2.86 ,True
0.27 g(acetic acid)/dm^3,53.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,0.9956 g/cm^3,3.24 ,True
0.22 g(acetic acid)/dm^3,37.0 mg/dm^3,0.027 g(sodium chloride)/dm^3,0.99228 g/cm^3,3.06 ,True
0.57 g(acetic acid)/dm^3,5.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,0.9934 g/cm^3,3.57 ,False
0.52 g(acetic acid)/dm^3,32.0 mg/dm^3,0.61 g(sodium chloride)/dm^3,0.9996 g/cm^3,2.74 ,False
0.27 g(acetic acid)/dm^3,15.0 mg/dm^3,0.072 g(sodium chloride)/dm^3,0.9956 g/cm^3,3.22 ,False
0.22 g(acetic acid)/dm^3,42.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,0.9966 g/cm^3,3.33 ,True
0.2 g(acetic acid)/dm^3,35.0 mg/dm^3,0.184 g(sodium chloride)/dm^3,0.99396 g/cm^3,2.93 ,True
0.26 g(acetic acid)/dm^3,36.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,0.9972 g/cm^3,3.28 ,True
0.25 g(acetic acid)/dm^3,28.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,0.99486 g/cm^3,3.4 ,True
0.18 g(acetic acid)/dm^3,47.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,0.99678 g/cm^3,3.28 ,True
0.36 g(acetic acid)/dm^3,29.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,0.99151 g/cm^3,2.96 ,True
0.26 g(acetic acid)/dm^3,23.5 mg/dm^3,0.019 g(sodium chloride)/dm^3,0.99041 g/cm^3,3.16 ,True
0.43 g(acetic acid)/dm^3,22.0 mg/dm^3,0.464 g(sodium chloride)/dm^3,0.9974 g/cm^3,3.13 ,False
0.27 g(acetic acid)/dm^3,45.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,0.9984 g/cm^3,3.34 ,True
0.44 g(acetic acid)/dm^3,10.0 mg/dm^3,0.063 g(sodium chloride)/dm^3,0.99613 g/cm^3,3.25 ,False
0.21 g(acetic acid)/dm^3,38.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,0.9978 g/cm^3,3.0 ,False
0.29 g(acetic acid)/dm^3,34.0 mg/dm^3,0.014 g(sodium chloride)/dm^3,0.99008 g/cm^3,3.24 ,True
0.26 g(acetic acid)/dm^3,62.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,0.9966 g/cm^3,3.07 ,False
0.27 g(acetic acid)/dm^3,52.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,0.995 g/cm^3,3.28 ,True
0.21 g(acetic acid)/dm^3,6.0 mg/dm^3,0.067 g(sodium chloride)/dm^3,0.99552 g/cm^3,3.23 ,False
0.26 g(acetic acid)/dm^3,64.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,0.9974 g/cm^3,3.08 ,False
0.23 g(acetic acid)/dm^3,45.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.99604 g/cm^3,2.96 ,True
0.42 g(acetic acid)/dm^3,34.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.992 g/cm^3,3.13 ,True
0.74 g(acetic acid)/dm^3,16.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,0.99258 g/cm^3,4.01 ,False
0.43 g(acetic acid)/dm^3,29.0 mg/dm^3,0.073 g(sodium chloride)/dm^3,0.99615 g/cm^3,3.37 ,False
0.3 g(acetic acid)/dm^3,9.0 mg/dm^3,0.095 g(sodium chloride)/dm^3,0.9994 g/cm^3,3.2 ,False
0.2 g(acetic acid)/dm^3,25.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,0.9926 g/cm^3,3.39 ,True
0.2 g(acetic acid)/dm^3,36.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,0.99008 g/cm^3,3.22 ,True
0.2 g(acetic acid)/dm^3,16.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,0.99243 g/cm^3,3.28 ,True
0.2 g(acetic acid)/dm^3,35.0 mg/dm^3,0.184 g(sodium chloride)/dm^3,0.99396 g/cm^3,2.93 ,True
0.16 g(acetic acid)/dm^3,41.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,0.9966 g/cm^3,3.38 ,False
0.67 g(acetic acid)/dm^3,9.0 mg/dm^3,0.06 g(sodium chloride)/dm^3,0.9931 g/cm^3,3.11 ,False
0.42 g(acetic acid)/dm^3,58.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,0.99495 g/cm^3,3.18 ,True
0.68 g(acetic acid)/dm^3,16.0 mg/dm^3,0.075 g(sodium chloride)/dm^3,0.99685 g/cm^3,3.38 ,False
0.38 g(acetic acid)/dm^3,42.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,0.9912 g/cm^3,3.38 ,True
0.92 g(acetic acid)/dm^3,12.0 mg/dm^3,0.087 g(sodium chloride)/dm^3,0.9998 g/cm^3,3.48 ,False
0.19 g(acetic acid)/dm^3,41.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.99 g/cm^3,3.25 ,True
0.28 g(acetic acid)/dm^3,38.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.998 g/cm^3,3.3 ,True
0.22 g(acetic acid)/dm^3,48.0 mg/dm^3,0.063 g(sodium chloride)/dm^3,0.9978 g/cm^3,2.89 ,True
0.34 g(acetic acid)/dm^3,15.0 mg/dm^3,0.159 g(sodium chloride)/dm^3,0.9998 g/cm^3,3.18 ,False
0.21 g(acetic acid)/dm^3,18.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.99006 g/cm^3,3.31 ,True
0.33 g(acetic acid)/dm^3,34.0 mg/dm^3,0.028 g(sodium chloride)/dm^3,0.9937 g/cm^3,3.35 ,False
0.32 g(acetic acid)/dm^3,61.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,0.9948 g/cm^3,3.19 ,False
0.36 g(acetic acid)/dm^3,26.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,0.99661 g/cm^3,3.47 ,False
0.28 g(acetic acid)/dm^3,27.0 mg/dm^3,0.024 g(sodium chloride)/dm^3,0.98959 g/cm^3,2.98 ,True
0.19 g(acetic acid)/dm^3,38.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.9904 g/cm^3,3.22 ,True
0.56 g(acetic acid)/dm^3,7.0 mg/dm^3,0.082 g(sodium chloride)/dm^3,0.997 g/cm^3,3.37 ,False
0.15 g(acetic acid)/dm^3,79.5 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.99742 g/cm^3,3.24 ,True
0.26 g(acetic acid)/dm^3,48.0 mg/dm^3,0.029 g(sodium chloride)/dm^3,0.99011 g/cm^3,3.15 ,True
0.17 g(acetic acid)/dm^3,37.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.99182 g/cm^3,3.24 ,True
0.645 g(acetic acid)/dm^3,10.0 mg/dm^3,0.095 g(sodium chloride)/dm^3,1.00315 g/cm^3,2.92 ,False
0.2 g(acetic acid)/dm^3,53.0 mg/dm^3,0.056 g(sodium chloride)/dm^3,0.999 g/cm^3,3.14 ,True
0.23 g(acetic acid)/dm^3,14.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,0.9928 g/cm^3,3.15 ,False
0.24 g(acetic acid)/dm^3,46.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,0.9985 g/cm^3,3.08 ,False
0.63 g(acetic acid)/dm^3,17.0 mg/dm^3,0.083 g(sodium chloride)/dm^3,0.99616 g/cm^3,3.26 ,False
0.29 g(acetic acid)/dm^3,75.0 mg/dm^3,0.197 g(sodium chloride)/dm^3,0.9942 g/cm^3,3.01 ,False
0.14 g(acetic acid)/dm^3,23.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,0.9958 g/cm^3,2.98 ,False
0.24 g(acetic acid)/dm^3,38.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,0.9934 g/cm^3,3.41 ,True
0.14 g(acetic acid)/dm^3,21.0 mg/dm^3,0.057 g(sodium chloride)/dm^3,0.99425 g/cm^3,3.26 ,True
0.24 g(acetic acid)/dm^3,33.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,0.9963 g/cm^3,3.2 ,True
0.2 g(acetic acid)/dm^3,69.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,1.00037 g/cm^3,3.1 ,True
0.3 g(acetic acid)/dm^3,44.5 mg/dm^3,0.055 g(sodium chloride)/dm^3,0.9972 g/cm^3,3.49 ,True
0.18 g(acetic acid)/dm^3,36.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,0.9967 g/cm^3,2.92 ,True
0.26 g(acetic acid)/dm^3,59.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,0.98944 g/cm^3,3.16 ,True
0.31 g(acetic acid)/dm^3,16.0 mg/dm^3,0.058 g(sodium chloride)/dm^3,0.9997 g/cm^3,3.38 ,False
0.3 g(acetic acid)/dm^3,31.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,0.99815 g/cm^3,3.27 ,True
0.27 g(acetic acid)/dm^3,36.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,0.99788 g/cm^3,3.04 ,True
0.23 g(acetic acid)/dm^3,65.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.9963 g/cm^3,3.11 ,True
0.32 g(acetic acid)/dm^3,32.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,0.99296 g/cm^3,3.2 ,False
0.33 g(acetic acid)/dm^3,20.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,0.9934 g/cm^3,3.38 ,False
0.32 g(acetic acid)/dm^3,63.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,0.9961 g/cm^3,3.14 ,True
0.18 g(acetic acid)/dm^3,38.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,0.996 g/cm^3,3.33 ,False
0.24 g(acetic acid)/dm^3,26.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,0.99884 g/cm^3,3.05 ,True
0.25 g(acetic acid)/dm^3,42.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.9906 g/cm^3,3.19 ,True
0.7 g(acetic acid)/dm^3,13.0 mg/dm^3,0.076 g(sodium chloride)/dm^3,0.99622 g/cm^3,3.54 ,False
0.19 g(acetic acid)/dm^3,32.0 mg/dm^3,0.067 g(sodium chloride)/dm^3,0.995 g/cm^3,3.36 ,False
0.27 g(acetic acid)/dm^3,42.0 mg/dm^3,0.058 g(sodium chloride)/dm^3,0.9946 g/cm^3,3.32 ,True
0.31 g(acetic acid)/dm^3,11.0 mg/dm^3,0.059 g(sodium chloride)/dm^3,0.9966 g/cm^3,3.36 ,False
0.3 g(acetic acid)/dm^3,24.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.99361 g/cm^3,3.29 ,False
0.33 g(acetic acid)/dm^3,29.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.99458 g/cm^3,3.13 ,False
0.27 g(acetic acid)/dm^3,47.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.9981 g/cm^3,3.04 ,False
0.27 g(acetic acid)/dm^3,47.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,0.9938 g/cm^3,3.23 ,True
0.24 g(acetic acid)/dm^3,22.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,0.9912 g/cm^3,3.1 ,True
0.73 g(acetic acid)/dm^3,25.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,0.99324 g/cm^3,3.12 ,False
0.14 g(acetic acid)/dm^3,22.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.9954 g/cm^3,3.36 ,True
0.33 g(acetic acid)/dm^3,16.0 mg/dm^3,0.083 g(sodium chloride)/dm^3,0.99782 g/cm^3,3.3 ,False
0.25 g(acetic acid)/dm^3,10.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,0.99128 g/cm^3,3.08 ,False
0.74 g(acetic acid)/dm^3,33.0 mg/dm^3,0.111 g(sodium chloride)/dm^3,0.99878 g/cm^3,3.14 ,False
0.38 g(acetic acid)/dm^3,57.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,0.9984 g/cm^3,3.09 ,True
0.2 g(acetic acid)/dm^3,26.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,0.99408 g/cm^3,2.99 ,True
0.24 g(acetic acid)/dm^3,49.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,0.98774 g/cm^3,3.32 ,True
0.33 g(acetic acid)/dm^3,22.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,0.9982 g/cm^3,3.38 ,False
0.22 g(acetic acid)/dm^3,41.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.99862 g/cm^3,3.22 ,True
0.33 g(acetic acid)/dm^3,27.0 mg/dm^3,0.03 g(sodium chloride)/dm^3,0.99031 g/cm^3,3.3 ,True
0.32 g(acetic acid)/dm^3,37.0 mg/dm^3,0.029 g(sodium chloride)/dm^3,0.98998 g/cm^3,3.25 ,True
0.28 g(acetic acid)/dm^3,36.0 mg/dm^3,0.012 g(sodium chloride)/dm^3,0.99064 g/cm^3,3.26 ,False
0.31 g(acetic acid)/dm^3,21.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,0.99304 g/cm^3,3.13 ,False
0.575 g(acetic acid)/dm^3,12.0 mg/dm^3,0.077 g(sodium chloride)/dm^3,0.9967 g/cm^3,3.29 ,False
0.58 g(acetic acid)/dm^3,9.0 mg/dm^3,0.075 g(sodium chloride)/dm^3,0.99779 g/cm^3,3.23 ,False
0.31 g(acetic acid)/dm^3,47.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,0.9964 g/cm^3,3.26 ,False
0.61 g(acetic acid)/dm^3,6.0 mg/dm^3,0.083 g(sodium chloride)/dm^3,0.9963 g/cm^3,3.29 ,False
0.19 g(acetic acid)/dm^3,32.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,0.9918 g/cm^3,3.16 ,False
0.35 g(acetic acid)/dm^3,20.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,0.99712 g/cm^3,3.47 ,True
0.26 g(acetic acid)/dm^3,33.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,0.9902 g/cm^3,3.16 ,True
0.2 g(acetic acid)/dm^3,8.0 mg/dm^3,0.055 g(sodium chloride)/dm^3,0.99767 g/cm^3,3.19 ,True
0.23 g(acetic acid)/dm^3,35.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,0.9999 g/cm^3,3.22 ,False
0.39 g(acetic acid)/dm^3,29.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.99414 g/cm^3,3.07 ,True
0.29 g(acetic acid)/dm^3,33.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,0.99612 g/cm^3,3.11 ,True
0.45 g(acetic acid)/dm^3,47.0 mg/dm^3,0.099 g(sodium chloride)/dm^3,0.99582 g/cm^3,3.21 ,False
0.28 g(acetic acid)/dm^3,16.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.9948 g/cm^3,3.05 ,False
0.855 g(acetic acid)/dm^3,29.0 mg/dm^3,0.064 g(sodium chloride)/dm^3,0.99472 g/cm^3,3.3 ,False
0.23 g(acetic acid)/dm^3,56.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.9958 g/cm^3,3.22 ,True
0.16 g(acetic acid)/dm^3,40.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,0.98958 g/cm^3,3.12 ,True
0.675 g(acetic acid)/dm^3,11.0 mg/dm^3,0.084 g(sodium chloride)/dm^3,0.9976 g/cm^3,3.31 ,False
0.275 g(acetic acid)/dm^3,19.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,0.992 g/cm^3,3.01 ,False
0.33 g(acetic acid)/dm^3,34.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,0.99226 g/cm^3,3.06 ,True
0.36 g(acetic acid)/dm^3,10.0 mg/dm^3,0.122 g(sodium chloride)/dm^3,0.998 g/cm^3,3.23 ,False
0.16 g(acetic acid)/dm^3,50.0 mg/dm^3,0.057 g(sodium chloride)/dm^3,0.9978 g/cm^3,3.39 ,True
0.16 g(acetic acid)/dm^3,20.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,0.9933 g/cm^3,3.61 ,True
0.14 g(acetic acid)/dm^3,53.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,0.9966 g/cm^3,3.25 ,False
0.18 g(acetic acid)/dm^3,53.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,0.99287 g/cm^3,3.1 ,True
0.21 g(acetic acid)/dm^3,61.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,0.99523 g/cm^3,3.02 ,True
0.35 g(acetic acid)/dm^3,18.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.992 g/cm^3,3.13 ,False
0.65 g(acetic acid)/dm^3,17.0 mg/dm^3,0.078 g(sodium chloride)/dm^3,0.9963 g/cm^3,3.34 ,False
0.595 g(acetic acid)/dm^3,26.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,0.9932 g/cm^3,3.36 ,False
0.26 g(acetic acid)/dm^3,6.0 mg/dm^3,0.066 g(sodium chloride)/dm^3,0.99724 g/cm^3,3.33 ,False
0.4 g(acetic acid)/dm^3,38.0 mg/dm^3,0.085 g(sodium chloride)/dm^3,0.9978 g/cm^3,3.22 ,False
0.57 g(acetic acid)/dm^3,12.0 mg/dm^3,0.104 g(sodium chloride)/dm^3,0.9963 g/cm^3,3.04 ,False
0.22 g(acetic acid)/dm^3,49.0 mg/dm^3,0.056 g(sodium chloride)/dm^3,0.9998 g/cm^3,3.37 ,True
0.2 g(acetic acid)/dm^3,51.0 mg/dm^3,0.032 g(sodium chloride)/dm^3,0.9939 g/cm^3,3.22 ,False
